file,overhead,unrecovered,run
0022-xlsx.xlsx_bmp_low_entropy_evo_dist_rs4_nc6177.fasta,0,0,2
0030-zip-highcompress.zip_bmp_low_entropy_evo_dist_rs3_nc7290.fasta,1,5457,4
0022-xlsx.xlsx_bmp_low_entropy_evo_dist_rs4_nc6177.fasta,6,4656,3
0022-xlsx.xlsx_bmp_low_entropy_evo_dist_rs4_nc6177.fasta,1,3126,4
0030-zip-highcompress.zip_bmp_low_entropy_evo_dist_rs4_nc7637.fasta,2,5623,0
0030-zip-highcompress.zip_bmp_low_entropy_evo_dist_rs4_nc7637.fasta,0,0,1
0030-zip-highcompress.zip_bmp_low_entropy_evo_dist_rs4_nc7637.fasta,1,5765,2
0030-zip-highcompress.zip_bmp_low_entropy_evo_dist_rs4_nc7637.fasta,0,0,3
0030-zip-highcompress.zip_bmp_low_entropy_evo_dist_rs4_nc7637.fasta,0,0,4
0033-zip-highcompress.zip_bmp_low_entropy_evo_dist_rs3_nc16478.fasta,1,8173,0
0033-zip-highcompress.zip_bmp_low_entropy_evo_dist_rs3_nc16478.fasta,1,8370,1
0033-zip-highcompress.zip_bmp_low_entropy_evo_dist_rs3_nc16478.fasta,2,12322,2
0033-zip-highcompress.zip_bmp_low_entropy_evo_dist_rs3_nc16478.fasta,2,8267,3
0033-zip-highcompress.zip_bmp_low_entropy_evo_dist_rs3_nc16478.fasta,0,0,4
0033-zip-highcompress.zip_bmp_low_entropy_evo_dist_rs4_nc17262.fasta,3,8657,0
0023-xlsx.xlsx_raptor_dist_rs4_nc633.fasta,2,311,0
0023-xlsx.xlsx_raptor_dist_rs4_nc633.fasta,1,456,1
0023-xlsx.xlsx_raptor_dist_rs4_nc633.fasta,3,417,2
0023-xlsx.xlsx_raptor_dist_rs4_nc633.fasta,1,335,3
0023-xlsx.xlsx_raptor_dist_rs4_nc633.fasta,7,424,4
0024-xlsx.xlsx_raptor_dist_rs2_nc651.fasta,1,361,0
0024-xlsx.xlsx_raptor_dist_rs2_nc651.fasta,2,525,1
0024-xlsx.xlsx_raptor_dist_rs2_nc651.fasta,2,427,2
0024-xlsx.xlsx_raptor_dist_rs2_nc651.fasta,0,0,3
0024-xlsx.xlsx_raptor_dist_rs2_nc651.fasta,3,572,4
